State Agency or Indian Tribal Organization,01-10-2012 0.00,01-11-2012 0.00,01-12-2012 0.00,01-01-2013 0.00,01-02-2013 0.00,01-03-2013 0.00,01-04-2013 0.00,01-05-2013 0.00,01-06-2013 0.00,01-07-2013 0.00,01-08-2013 0.00,01-09-2013 0.00,Cumulative Cost
Mountain Plains,21342634,21443593,20594060,23123770,20585999,20404144,21421607,21943100,19897737,22639050,21711698,18685819,253793211
Alaska,1294277,1211504,1073840,820561,1642558,1419529,928852,1515757,907822,1183279,1142254,825536,13965769
American Samoa,462249,457532,446516,456620,457073,443501,476491,456785,445281,458282,457663,437922,5455915
Arizona,7686217,7432151,6538532,7116781,6849878,6372199,7023082,6979110,6713040,6844132,7459712,6363462,83378296
California,66582362,68172072,63418639,68263060,67665985,63414523,67441119,66188953,64509486,65373286,66889986,63265160,791184631
Guam,557698,568434,532623,577493,570093,549124,560490,542321,548267,545382,573935,539432,6665292
Hawaii,2078612,2085989,1843035,2027990,1908239,1710309,1981674,1917928,1911754,1925754,1378687,1912442,22682413
Idaho,1717234,1700123,1632670,1681512,1615995,1535009,1573465,1558918,1506086,1551809,1540077,1518258,19131156
Nevada,2965805,2842926,2769146,2818486,2707867,2720436,2844305,2697549,2740662,2738684,2802560,2687898,33336324
Oregon,4587168,5856282,3038251,4372702,4230526,4064032,5594042,2885641,4145406,4149098,4213466,4544750,51681364
Washington,8357868,8402724,7733802,8201217,7856760,7389273,7946632,7852816,7619346,7638512,7934884,8080975,95014809
Northern Marianas,294340,294995,281437,297352,296916,287712,350881,247669,292370,292243,348631,225959,3510505
"Inter-Tribal Council, AZ",416860,424221,364139,399175,341409,328200,550131,209535,379507,402849,217378,585911,4619315
"Navajo Nation, AZ",655337,509210,508377,355811,611243,345447,653253,655422,178996,486545,507591,452156,5919388
"Inter-Tribal Council, NV",25771,42406,46966,43132,35294,56707,41886,45712,39762,44623,53110,50185,525554
